row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_MeOH_t1_modified.mzXML Peak area,NEG_MeOH_t2_modified.mzXML Peak area,NEG_MeOH_t3_modified.mzXML Peak area,NEG_MAZ_21_t1_modified.mzXML Peak area,NEG_MAZ_21_t2_modified.mzXML Peak area,NEG_MAZ_21_t3_modified.mzXML Peak area,NEG_MAZ_19_t1_modified.mzXML Peak area,NEG_MAZ_19_t2_modified.mzXML Peak area,NEG_MAZ_19_t3_modified.mzXML Peak area,NEG_MAZ_18_t1_modified.mzXML Peak area,NEG_MAZ_18_t2_modified.mzXML Peak area,NEG_MAZ_18_t3_modified.mzXML Peak area,NEG_MAZ_17_t1_modified.mzXML Peak area,NEG_MAZ_17_t2_modified.mzXML Peak area,NEG_MAZ_17_t3_modified.mzXML Peak area,NEG_MAZ_16_t1_modified.mzXML Peak area,NEG_MAZ_16_t2_modified.mzXML Peak area,NEG_MAZ_16_t3_modified.mzXML Peak area,
24,157.05048941771142,0.79669446,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,132.178,145.79776,179.25285,0,0,0,
25,355.1036970578664,0.7972,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,162.34132,149.31192,198.95435,905.52795,787.53754,849.5377,
26,219.05124066066733,0.7987611,,,,,,,,,,,0,0,0,0,0,0,636.7608,734.37445,828.1769,0,0,0,0,0,0,0,0,0,
27,279.1087375336616,0.7996249,,,,,,,,,,,0,0,0,0,0,0,429.68533,392.78693,457.74323,600.2181,634.82697,644.0373,0,0,0,0,0,0,
28,147.0300401398995,0.81581664,,,,,,,,,,,0,0,0,716.74567,716.74567,817.88513,0,0,0,0,0,0,0,0,0,0,0,0,
29,235.04607156578777,0.8183221,,,,,,,,,,,0,0,0,566.5664,566.5664,581.60895,364.5463,479.0365,619.4679,0,0,0,0,0,0,518.7643,460.5343,577.58734,
30,343.10374358399076,0.86402225,,,,,,,,,,,0,0,0,0,0,0,698.0752,801.6226,730.47943,0,0,0,0,0,0,0,0,0,
31,167.0349800544642,0.8752889,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.2872,134.10178,205.00584,
32,327.10861198490255,0.89073,,,,,,,,,,,0,0,0,5247.8804,5247.8804,5027.7344,808.7976,673.7687,826.8695,2239.9705,2273.8438,2412.028,927.7916,790.644,1021.2723,4763.809,4289.9824,4357.0293,
33,154.9982830503155,0.90541667,,,,,,,,,,,0,0,0,0,0,0,1662.6565,1861.005,1997.9392,0,0,0,0,0,0,0,0,0,
34,493.1564055083823,0.9221445,,,,,,,,,,,0,0,0,344.9087,344.9087,328.26462,0,0,0,0,0,0,0,0,0,0,0,0,
35,443.1594066707382,0.92854446,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837.2785,759.3699,829.41925,
36,355.1608959632936,0.9453056,,,,,,,,,,,0,0,0,0,0,0,0,0,0,732.13727,782.3357,806.5684,0,0,0,0,0,0,
37,315.0722190384702,0.94747335,,,,,,,,,,,0,0,0,3904.8188,3904.8188,4191.78,11439.767,11203.307,11162.828,2882.125,3035.365,2933.4905,1775.3325,1503.5426,1792.6206,2477.4814,2255.1797,2324.1125,
38,383.05967791841226,0.94901127,,,,,,,,,,,0,0,0,499.94254,499.94254,482.2925,1207.442,1134.3933,1111.69,363.49487,349.20715,383.48267,0,0,0,226.46513,204.80847,213.23238,
39,309.15543278769456,0.9512167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,738.6144,742.6509,754.5633,0,0,0,0,0,0,
40,261.0076025428204,0.986125,,,,,,,,,,,0,0,0,402.50757,402.50757,408.02597,0,0,0,258.4714,295.39957,269.43365,309.8323,268.3345,335.9707,534.4641,435.59097,461.206,
41,409.0445378211591,0.98885554,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,383.25415,338.21265,413.39066,0,0,0,
42,311.07740884466665,0.99305004,,,,,,,,,,,0,0,0,262.84753,262.84753,322.1327,0,0,0,0,0,0,0,0,0,0,0,0,
43,201.12461234222255,1.0054389,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.24942,351.58124,380.55707,
44,467.21321987362603,1.0065166,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,750.5812,631.4628,828.7657,0,0,0,
45,473.12997875157663,1.0115722,,,,,,,,,,,0,0,0,0,0,0,4842.794,4937.104,4725.344,0,0,0,0,0,0,0,0,0,
46,219.0511029194399,1.0175167,,,,,,,,,,,0,0,0,0,0,0,906.29626,1007.49567,1235.9723,0,0,0,0,0,0,0,0,0,
47,224.0598400314809,1.0301279,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,343.80435,263.7048,359.4178,0,0,0,
48,515.1402933570561,1.0352668,,,,,,,,,,,0,0,0,0,0,0,1316.683,1311.5876,1290.4512,0,0,0,0,0,0,0,0,0,
49,281.10653701591497,1.0409333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.5893,451.766,264.689,
50,465.1044959076719,1.0697445,,,,,,,,,,,0,0,0,198.15364,198.15364,184.97722,0,0,0,0,0,0,0,0,0,0,0,0,
51,491.14056203544186,1.0713111,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1282.3456,1005.70105,1307.7069,0,0,0,
52,355.1034096453877,1.073775,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,830.53937,706.3449,960.6417,903.9376,798.27344,769.7676,
53,499.14577671360104,1.0880555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.4785,1135.447,1234.9111,
54,143.0349564801227,1.0903811,,,,,,,,,,,0,0,0,631.2313,631.2313,758.90466,1383.1802,1641.1735,2082.908,2918.4353,3794.0608,4763.417,620.90265,653.56696,1052.7448,2543.532,2954.0327,3531.1045,
55,99.0451194273284,1.0904555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,506.46805,546.068,846.1607,0,0,0,378.71664,483.0695,593.82666,
56,345.0805500093328,1.0937815,,,,,,,,,,,0,0,0,0,0,0,326.481,397.34088,470.35315,802.0303,990.6269,1249.5151,0,0,0,679.70154,746.5683,892.9453,
57,161.04555506974847,1.0950822,,,,,,,,,,,0,0,0,653.3791,653.3791,898.95764,1472.4758,1662.2009,1975.5272,3543.0632,4845.8286,4941.0605,840.3462,645.4563,900.3367,2724.6738,2977.941,3337.8242,
58,382.10072840256663,1.0991611,,,,,,,,,,,0,0,0,358.39047,358.39047,405.1731,0,0,0,0,0,0,0,0,0,0,0,0,
59,229.03309488229408,1.1009763,,,,,,,,,,,0,0,0,265.96722,265.96722,291.50043,433.09784,502.30908,558.26984,644.6005,732.3114,848.8401,0,0,0,536.8728,604.2945,659.7585,
60,627.1563837155549,1.1066945,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1514.1307,1166.4078,1468.0597,0,0,0,
61,306.1559548434372,1.1126,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,549.508,516.2029,565.7466,0,0,0,
62,352.16144601111597,1.1297917,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,679.3082,580.385,741.1706,225.14761,206.87961,199.53322,
63,365.05484864863797,1.1595,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,259.29712,228.7653,293.5892,0,0,0,
64,279.1083916325052,1.1654223,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,258.20306,219.54205,274.08716,0,0,0,
65,238.07562076494708,1.1713,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,217.12979,180.25803,272.31104,0,0,0,
66,459.1509166880792,1.1885334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.4452,800.8206,885.9958,
67,230.10354084287454,1.1916944,,,,,,,,,,,0,0,0,0,0,0,0,0,0,194.5358,195.62888,212.60918,0,0,0,0,0,0,
68,160.04045073588654,1.2079221,,,,,,,,,,,0,0,0,206.6557,206.6557,204.09784,0,0,0,0,0,0,0,0,0,276.0278,251.55725,258.0013,
69,204.03019390510715,1.2137306,,,,,,,,,,,0,0,0,0,0,0,0,0,0,332.68982,376.91034,394.5429,0,0,0,423.8213,450.90063,460.996,
70,427.1247735019615,1.2339224,,,,,,,,,,,0,0,0,258.50006,258.50006,326.20764,0,0,0,0,0,0,0,0,0,333.313,345.90717,453.54102,
71,361.0779118799391,1.2534,,,,,,,,,,,0,0,0,0,0,0,131.56265,148.82977,142.9336,0,0,0,0,0,0,0,0,0,
72,380.1566169250282,1.2747889,,,,,,,,,,,0,0,0,0,0,0,0,0,0,174.60146,186.89401,182.9774,0,0,0,0,0,0,
73,153.05565362512843,1.2832056,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.71419,193.04256,165.39325,
74,217.01771816032758,1.2949667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.9507,1123.9637,1172.0767,
75,355.06714509661174,1.3104372,,,,,,,,,,,0,0,0,1102.01,1102.01,1044.4741,0,0,0,0,0,0,1438.251,1273.448,1763.1019,465.91125,349.23962,387.07788,
76,315.1086171141216,1.3139124,,,,,,,,,,,0,0,0,0,0,0,877.6137,861.28265,844.2773,339.34604,337.9053,314.75595,513.28186,427.04095,508.61768,222.97119,212.96364,218.40166,
77,285.04036528989303,1.3188223,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,277.38797,208.19528,259.0694,0,0,0,
78,473.1300998051288,1.3285222,,,,,,,,,,,0,0,0,0,0,0,4372.3115,4288.894,4223.657,0,0,0,0,0,0,0,0,0,
79,465.10375732401707,1.3306278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1196.015,1024.9718,1380.3358,0,0,0,
80,369.08273549293864,1.3580999,,,,,,,,,,,0,0,0,0,0,0,595.27966,571.7856,532.80756,0,0,0,0,0,0,0,0,0,
81,509.10657293936356,1.3638445,,,,,,,,,,,0,0,0,0,0,0,1045.5449,967.0816,1054.8752,0,0,0,0,0,0,0,0,0,
82,173.00928126614633,1.3656445,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13126.037,13685.214,16838.832,
83,219.0510980206144,1.3746455,,,,,,,,,,,0,0,0,19886.033,19886.033,23904.658,2468.217,3013.0151,3531.3606,8471.107,10770.98,13238.795,11945.645,14366.363,20170.102,31011.15,34141.227,41006.8,
84,461.0913918197596,1.3773335,,,,,,,,,,,0,0,0,2164.0674,2164.0674,2723.7576,0,0,0,850.3851,1055.4221,1422.8083,1263.8762,1548.6387,2137.2815,3635.8792,3942.403,4646.4165,
85,154.99863880631833,1.3774444,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558.6309,2748.1064,3114.9998,
86,483.073057760375,1.3810222,,,,,,,,,,,0,0,0,523.3348,523.3348,616.3797,0,0,0,0,0,0,377.38467,457.64426,537.7847,660.3456,671.1404,705.33545,
87,391.11660795357506,1.3934942,,,,,,,,,,,0,0,0,0,0,0,818.95215,841.12445,908.5227,0,0,0,0,0,0,0,0,0,
88,401.14540061398066,1.4044777,,,,,,,,,,,0,0,0,0,0,0,4695.3228,4441.7075,4543.8965,0,0,0,901.6324,655.2175,843.0507,1406.4408,1234.481,1221.3142,
89,355.13995467443436,1.4090277,,,,,,,,,,,0,0,0,0,0,0,1229.2026,1137.0496,1150.596,0,0,0,0,0,0,393.9489,307.76776,313.60345,
90,201.0402840074764,1.43655,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,387.4101,357.67953,398.65625,589.5957,674.6733,676.53046,
91,311.0772632915628,1.4434695,,,,,,,,,,,0,0,0,1021.3238,1021.3238,1002.3496,2442.1155,2395.109,2448.0835,0,0,0,0,0,0,0,0,0,
92,441.1902332420677,1.4486445,,,,,,,,,,,0,0,0,0,0,0,0,0,0,938.4256,769.1016,756.08203,0,0,0,0,0,0,
93,495.2453580120288,1.448711,,,,,,,,,,,0,0,0,0,0,0,0,0,0,229.72137,194.39006,227.30756,0,0,0,0,0,0,
94,519.2058639410502,1.4546112,,,,,,,,,,,0,0,0,0,0,0,0,0,0,163.45967,152.02199,146.53682,0,0,0,0,0,0,
95,405.2132416103671,1.4664111,,,,,,,,,,,0,0,0,0,0,0,0,0,0,435.48047,406.51617,428.22336,0,0,0,0,0,0,
96,451.2188416718243,1.4723555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3985.0903,3756.0654,3995.369,0,0,0,0,0,0,
97,343.1034412228966,1.49275,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,254.99261,240.99417,277.45227,0,0,0,
98,515.1405970365995,1.5699834,,,,,,,,,,,0,0,0,0,0,0,7748.4297,7289.4863,7615.121,0,0,0,0,0,0,0,0,0,
99,176.04057009308062,1.5875722,,,,,,,,,,,0,0,0,0,0,0,687.44867,711.5303,762.9136,0,0,0,0,0,0,0,0,0,
100,329.08793465306746,1.5876908,,,,,,,,,,,0,0,0,0,0,0,0,0,0,315.28882,352.72495,347.19635,1223.3389,1078.3888,1331.2433,434.03387,438.08392,408.49973,
101,214.0052836309205,1.5878724,,,,,,,,,,,0,0,0,936.05615,936.05615,861.9395,0,0,0,0,0,0,0,0,0,0,0,0,
102,359.09863445124216,1.6083666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,176.5686,167.92773,164.04913,0,0,0,0,0,0,
103,443.05732293477485,1.6231943,,,,,,,,,,,0,0,0,632.3027,632.3027,615.58575,582.4349,611.0925,593.0733,0,0,0,0,0,0,0,0,0,
104,191.0562720525368,1.628789,,,,,,,,,,,0,0,0,1480.1853,1480.1853,1529.1696,0,0,0,0,0,0,0,0,0,0,0,0,
105,729.1646293991988,1.6318945,,,,,,,,,,,0,0,0,2909.9636,2909.9636,2597.03,2351.768,1961.0677,1663.4072,0,0,0,0,0,0,0,0,0,
106,353.0879673640334,1.6330026,,,,,,,,,,,0,0,0,50513.06,50513.06,51387.906,0,0,0,0,0,0,0,0,0,2360.4546,2120.4685,2208.4678,
107,375.069848072535,1.6336019,,,,,,,,,,,0,0,0,8623.708,8623.708,8635.06,7860.9263,8087.885,7973.1963,0,0,0,0,0,0,779.80835,698.9129,772.1681,
108,203.0825830970764,1.6363889,,,,,,,,,,,0,0,0,0,0,0,0,0,0,532.8498,573.96796,604.3895,0,0,0,321.99268,315.15442,305.11832,
109,179.03496461627967,1.6377863,,,,,,,,,,,0,0,0,1076.0596,1076.0596,1091.3309,831.62067,944.86786,747.91956,0,0,0,0,0,0,0,0,0,
110,707.1828977877466,1.6377834,,,,,,,,,,,0,0,0,6509.1904,6509.1904,6081.8433,4046.873,3539.3328,2919.465,0,0,0,0,0,0,0,0,0,
111,491.14033699581387,1.6523222,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,820.43134,638.938,840.35126,0,0,0,
112,381.0464413514569,1.6582667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,334.62573,297.44635,391.54657,0,0,0,
113,527.1169731568972,1.6582721,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,684.4132,509.78842,706.3066,0,0,0,
114,537.1458196828048,1.6582721,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1704.4608,1318.3225,1650.8485,0,0,0,
115,181.05054839017987,1.7043204,,,,,,,,,,,0,0,0,237.90422,237.90422,209.39568,898.9515,1050.8271,1113.6927,0,0,0,0,0,0,300.95248,352.23724,423.28464,
116,399.12982025417085,1.7357833,,,,,,,,,,,0,0,0,422.22363,422.22363,431.31247,769.0864,728.3556,795.4999,0,0,0,0,0,0,1516.9769,1463.9927,1402.8922,
117,627.1563544369402,1.7475611,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2078.4211,1514.7336,1890.9142,0,0,0,
118,467.11714937571213,1.7639222,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.01955,185.93806,186.57423,
119,409.114150333307,1.7734972,,,,,,,,,,,0,0,0,258.17804,258.17804,268.4264,0,0,0,0,0,0,0,0,0,665.28076,525.46216,580.3065,
120,373.11743844021004,1.7885056,,,,,,,,,,,0,0,0,0,0,0,1861.0023,1026.3838,1993.338,0,0,0,0,0,0,0,0,0,
121,563.161641579839,1.8062888,,,,,,,,,,,0,0,0,0,0,0,1127.4135,1045.8503,1056.5383,0,0,0,0,0,0,0,0,0,
122,331.1033282017751,1.8259388,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,262.83618,221.06555,268.7264,0,0,0,
123,211.06454695590833,1.8398141,,,,,,,,,,,0,0,0,0,0,0,1224.8751,1069.4026,1451.3146,0,0,0,477.91382,383.07663,528.0176,0,0,0,
124,285.0981759961484,1.8437333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,310.10687,224.0878,315.0295,0,0,0,
125,535.1667578443809,1.8497056,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1617.6575,1186.1997,1617.5077,0,0,0,
126,369.0825222339884,1.8711389,,,,,,,,,,,0,0,0,0,0,0,429.98965,405.95596,396.23303,0,0,0,0,0,0,0,0,0,
127,393.0804837649591,1.9325444,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,180.01366,155.89377,232.984,0,0,0,
128,381.0827157236752,1.9388361,,,,,,,,,,,0,0,0,2018.2307,2018.2307,2330.5498,0,0,0,0,0,0,0,0,0,1302.3624,1344.9054,1448.6951,
129,421.17163448297464,1.94195,,,,,,,,,,,0,0,0,0,0,0,217.05179,198.06142,235.49956,0,0,0,0,0,0,0,0,0,
130,325.09285910071196,1.944211,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,846.3988,780.82745,919.14014,0,0,0,
131,163.0400568844224,1.9560446,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,404.32727,452.6575,526.3774,0,0,0,
132,361.0779101613398,1.982989,,,,,,,,,,,0,0,0,0,0,0,989.6101,997.8539,928.5974,0,0,0,0,0,0,0,0,0,
133,137.0243731397249,1.9854861,,,,,,,,,,,0,0,0,582.7885,582.7885,432.50803,0,0,0,0,0,0,0,0,0,376.74954,549.20667,569.8705,
134,153.01933882222977,2.00175,,,,,,,,,,,0,0,0,1007.37885,1007.37885,962.65045,0,0,0,208.79459,214.09515,251.15302,0,0,0,0,0,0,
135,93.03451617341676,2.0485165,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.3034,240.34106,261.10376,
136,300.05492318457715,2.051889,,,,,,,,,,,0,0,0,469.42825,469.42825,461.6369,0,0,0,0,0,0,0,0,0,0,0,0,
137,300.10905670982197,2.0553887,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,240.00716,211.32089,271.14774,0,0,0,
138,441.1901754733611,2.0603502,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.82639,157.85518,170.60556,
139,451.2185521076298,2.062061,,,,,,,,,,,0,0,0,225.95828,225.95828,196.07547,0,0,0,0,0,0,0,0,0,1328.4205,1190.8188,1258.7947,
140,559.128211271204,2.089461,,,,,,,,,,,0,0,0,218.2413,218.2413,201.84586,0,0,0,368.65695,386.96188,375.4411,0,0,0,0,0,0,
141,491.1407377844618,2.092572,,,,,,,,,,,0,0,0,2761.2764,2761.2764,2770.9714,878.48596,713.209,827.6489,4693.4927,4824.2666,4768.7197,1232.4502,1023.478,1328.181,1989.3978,1781.174,1718.2361,
142,341.0880757003171,2.1040735,,,,,,,,,,,0,0,0,720.4586,720.4586,752.02814,4079.0408,3882.579,4051.8032,3080.1602,3109.2654,3183.3323,0,0,0,754.9017,663.4696,750.4553,
143,443.1778113226628,2.1349277,,,,,,,,,,,0,0,0,361.42743,361.42743,355.7124,0,0,0,0,0,0,0,0,0,0,0,0,
144,397.171564182434,2.1382973,,,,,,,,,,,0,0,0,280.25534,280.25534,397.68173,0,0,0,0,0,0,0,0,0,345.87573,299.60397,326.33313,
145,473.1301875782108,2.1387613,,,,,,,,,,,0,0,0,0,0,0,970.30646,1045.9634,959.9926,0,0,0,0,0,0,0,0,0,
146,601.1771888243138,2.2213814,,,,,,,,,,,0,0,0,439.83994,439.83994,460.41095,0,0,0,0,0,0,682.71674,520.7709,632.84955,869.7668,715.4226,677.64264,
147,231.13501607919056,2.2255278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.20618,394.77734,407.70035,
148,345.11933649831707,2.228961,,,,,,,,,,,0,0,0,0,0,0,0,0,0,260.9481,305.66153,286.7008,0,0,0,0,0,0,
149,555.1721882810543,2.2377279,,,,,,,,,,,0,0,0,2077.0088,2077.0088,2090.1968,0,0,0,0,0,0,0,0,0,0,0,0,
150,157.0505830616937,2.2408054,,,,,,,,,,,0,0,0,0,0,0,0,0,0,164.56326,212.04233,237.08894,0,0,0,0,0,0,
151,299.113822395133,2.2467556,,,,,,,,,,,0,0,0,0,0,0,0,0,0,392.11597,432.9672,396.46866,0,0,0,0,0,0,
152,457.135396082389,2.299211,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.6947,479.88275,534.4323,
153,611.1618399825891,2.3599463,,,,,,,,,,,0,0,0,2022.3492,2022.3492,2128.7976,0,0,0,1503.0502,1351.7854,1407.4601,0,0,0,5230.4546,4365.5376,4440.2305,
154,409.11412722961904,2.36195,,,,,,,,,,,0,0,0,219.8252,219.8252,208.50845,0,0,0,0,0,0,0,0,0,0,0,0,
155,467.11731557113194,2.3893778,,,,,,,,,,,0,0,0,401.15646,401.15646,451.97327,0,0,0,482.98743,481.0571,468.696,0,0,0,0,0,0,
156,399.12988190536083,2.393935,,,,,,,,,,,0,0,0,2881.763,2881.763,2976.0232,402.59723,350.5216,445.25354,3129.863,3237.1934,3175.3525,0,0,0,515.7308,450.1926,474.05814,
157,355.14006155353053,2.4386945,,,,,,,,,,,0,0,0,358.21082,358.21082,339.40244,0,0,0,0,0,0,0,0,0,0,0,0,
158,209.0457013506124,2.444425,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,202.33273,168.71341,249.7881,557.37585,498.5944,525.646,
159,329.087926181787,2.4505887,,,,,,,,,,,0,0,0,2552.7297,2552.7297,2699.3972,0,0,0,903.28485,931.70374,949.2997,900.6518,834.46155,982.44073,2181.1106,2084.021,2087.2925,
160,285.0406351775175,2.499889,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,477.7403,393.44553,484.27124,0,0,0,
161,465.1037949544995,2.5104,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,887.8289,750.0241,959.8664,0,0,0,
162,351.10840095767895,2.53595,,,,,,,,,,,0,0,0,227.20522,227.20522,237.59712,0,0,0,0,0,0,0,0,0,0,0,0,
163,176.04053451908507,2.6310613,,,,,,,,,,,0,0,0,0,0,0,439.4775,434.7563,398.90952,0,0,0,0,0,0,0,0,0,
