row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_MeOH_t1_modified.mzXML Peak area,POS_MeOH_t2 _modified.mzXML Peak area,POS_MeOH_t3_modified.mzXML Peak area,POS_MAZ_21_t1_modified.mzXML Peak area,POS_MAZ_21_t2_modified.mzXML Peak area,POS_MAZ_21_t3_modified.mzXML Peak area,POS_MAZ_19_t1_modified.mzXML Peak area,POS_MAZ_19_t2_modified.mzXML Peak area,POS_MAZ_19_t3_modified.mzXML Peak area,POS_MAZ_18_t1_modified.mzXML Peak area,POS_MAZ_18_t2_modified.mzXML Peak area,POS_MAZ_18_t3_modified.mzXML Peak area,POS_MAZ_17_t1_modified.mzXML Peak area,POS_MAZ_17_t2_modified.mzXML Peak area,POS_MAZ_17_t3_modified.mzXML Peak area,POS_MAZ_16_t1_modified.mzXML Peak area,POS_MAZ_16_t2_modified.mzXML Peak area,POS_MAZ_16_t3_modified.mzXML Peak area,
23,289.1258869501644,0.7712907,,,,,,,,,,,0,0,0,0,0,0,1089.5686,895.881,1070.0131,731.8077,765.43256,808.2971,0,0,0,457.68607,429.2446,439.3056,
24,228.0868384054971,0.7835389,,,,,,,,,,,0,0,0,0,0,0,0,0,0,784.4308,743.68036,670.33997,0,0,0,0,0,0,
25,221.06574297120102,0.80621296,,,,,,,,,,,0,0,0,770.3751,1520.0905,1891.3887,560.92487,720.5403,930.2743,531.2525,749.7205,1039.1294,0,0,0,0,0,0,
26,259.04262228913245,0.8122611,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.34003,718.6657,950.996,
27,289.0552326376948,0.8174445,,,,,,,,,,,0,0,0,431.94034,318.5213,233.14644,0,0,0,0,0,0,0,0,0,0,0,0,
28,166.0862956111426,0.8203833,,,,,,,,,,,0,0,0,7283.0415,7154.7593,6564.0103,7107.514,5984.6294,6301.3765,14986.142,14365.744,14158.703,6242.239,5632.348,6850.0264,18038.121,15996.045,15548.876,
29,120.08085398058005,0.82153547,,,,,,,,,,,0,0,0,1948.0718,1834.1918,1745.9512,1939.1248,1601.5015,1647.0348,4586.8706,4318.141,4068.5815,1725.4672,1505.4592,1811.3601,5292.0356,4783.972,4656.658,
30,130.15909126225017,0.83278894,,,,,,,,,,,0,0,0,567.7944,531.1578,472.98175,0,0,0,1885.5743,1835.2811,1788.4366,0,0,0,0,0,0,
31,328.13868647586787,0.8355056,,,,,,,,,,,0,0,0,768.1465,729.7104,686.6185,0,0,0,0,0,0,1294.1029,1109.353,1417.584,1159.4607,1025.4344,994.9274,
32,331.1364406637702,0.8358695,,,,,,,,,,,0,0,0,0,0,0,832.2252,817.9167,850.42975,1939.7911,1907.9457,1956.3824,0,0,0,0,0,0,
33,146.11754506852836,0.8475167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,654.5316,564.4232,629.89417,0,0,0,
34,219.13415028796206,0.86476666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735.854,2596.4243,2481.8557,
35,311.0740150483755,0.8707833,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,260.36728,223.49757,326.57806,0,0,0,
36,177.05463636046616,0.8908333,,,,,,,,,,,0,0,0,391.98358,415.68253,389.3665,0,0,0,0,0,0,0,0,0,369.2967,364.2944,312.67218,
37,362.14470790982847,0.8938778,,,,,,,,,,,0,0,0,0,0,0,336.81955,410.97946,376.20538,0,0,0,0,0,0,0,0,0,
38,311.11279040244057,0.8962092,,,,,,,,,,,0,0,0,1075.2709,1047.6816,918.38965,0,0,0,410.8098,435.98288,410.0059,0,0,0,905.8985,836.16705,811.7193,
39,351.1051334961119,0.8981352,,,,,,,,,,,0,0,0,1033.1504,996.7311,1018.8479,0,0,0,417.69397,477.0899,489.69406,0,0,0,953.39954,839.3691,881.642,
40,346.14987197178374,0.89964724,,,,,,,,,,,0,0,0,496.72144,407.32065,439.61212,0,0,0,0,0,0,0,0,0,392.279,326.37683,382.0061,
41,289.0903113123525,0.91172224,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,344.89606,341.47003,425.31226,532.1497,500.39816,405.80954,
42,333.15227465614475,0.94236666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1535.0198,1592.3297,1698.7864,0,0,0,0,0,0,
43,149.11727494720557,0.94510555,,,,,,,,,,,0,0,0,496.2887,522.14636,512.02655,424.87802,369.10385,447.48444,1372.3423,1445.926,1407.677,0,0,0,0,0,0,
44,311.1704444484062,0.9482722,,,,,,,,,,,0,0,0,0,0,0,0,0,0,786.2193,727.6047,746.44684,0,0,0,0,0,0,
45,155.03383512526148,0.9493806,,,,,,,,,,,0,0,0,618.18195,541.54236,589.288,1635.9043,1634.18,1520.9086,0,0,0,0,0,0,0,0,0,
46,334.1134422117616,0.95260555,,,,,,,,,,,0,0,0,0,0,0,616.50977,548.63074,506.5248,0,0,0,0,0,0,0,0,0,
47,144.13833722745733,0.9528222,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1630.722,1260.2325,1631.1085,0,0,0,
48,156.13827671612592,0.9587278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,271.5328,219.75803,288.1622,0,0,0,
49,171.0992895315708,0.9589417,,,,,,,,,,,0,0,0,774.8003,730.5652,676.5946,0,0,0,402.95972,403.50568,420.61322,0,0,0,0,0,0,
50,139.03892806369785,0.98182225,,,,,,,,,,,0,0,0,0,0,0,488.22885,376.6241,399.43,0,0,0,0,0,0,0,0,0,
51,335.0971807508454,1.0046166,,,,,,,,,,,0,0,0,467.7037,529.98926,425.57123,0,0,0,0,0,0,0,0,0,0,0,0,
52,203.13913544291879,1.0057778,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5676.293,5114.517,4955.554,
53,243.0477403916142,1.0068889,,,,,,,,,,,0,0,0,0,0,0,0,0,0,660.77435,970.59283,1368.0956,0,0,0,0,0,0,
54,186.11251039419895,1.0117278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.48396,151.23604,164.04529,
55,169.0836467547537,1.02445,,,,,,,,,,,0,0,0,0,0,0,0,0,0,733.1904,690.5481,744.5985,0,0,0,0,0,0,
56,221.06569469216933,1.0265555,,,,,,,,,,,0,0,0,0,0,0,477.50052,636.3565,787.65216,584.0592,799.0761,1040.3501,0,0,0,0,0,0,
57,126.12778360667613,1.0353667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,799.17676,709.37756,915.7094,0,0,0,
58,220.11806921949426,1.0362111,,,,,,,,,,,0,0,0,292.99142,303.1262,251.33269,238.28706,187.3474,190.88136,0,0,0,609.2037,529.41254,711.7156,744.879,676.51917,635.7181,
59,315.1049102131884,1.0698112,,,,,,,,,,,0,0,0,0,0,0,754.4747,739.3286,685.75433,0,0,0,0,0,0,0,0,0,
60,182.03385927311322,1.0886999,,,,,,,,,,,0,0,0,0,0,0,0,0,0,219.38469,417.6955,560.70013,0,0,0,0,0,0,
61,185.04223591902152,1.0913188,,,,,,,,,,,0,0,0,1817.3713,2157.0173,2605.4016,3587.496,4884.866,5206.9414,5270.337,8047.3833,9693.008,1777.2672,1964.6106,2310.2534,6225.268,7957.266,8595.96,
62,163.06022673568117,1.0924361,,,,,,,,,,,0,0,0,0,0,0,1144.9933,1527.7896,1279.1918,1751.671,1795.3986,2408.74,577.8696,614.056,653.28094,1606.9807,1752.574,2120.1294,
63,139.53123800821658,1.0939084,,,,,,,,,,,0,0,0,0,0,0,867.1831,503.15396,565.8927,1820.7715,1578.658,1984.6112,0,0,0,0,0,0,
64,117.05481086779507,1.0965695,,,,,,,,,,,0,0,0,0,0,0,966.2821,716.96075,892.8513,0,0,0,0,0,0,995.1909,1307.776,1190.9506,
65,180.08691260608728,1.0992779,,,,,,,,,,,0,0,0,0,0,0,281.26797,472.97076,451.8429,0,0,0,0,0,0,0,0,0,
66,331.1368753601525,1.100411,,,,,,,,,,,0,0,0,0,0,0,0,0,0,800.8621,881.06024,897.7871,0,0,0,0,0,0,
67,384.11502007339067,1.1101779,,,,,,,,,,,0,0,0,881.4725,886.44,852.38806,0,0,0,0,0,0,0,0,0,0,0,0,
68,330.15235784055017,1.1142305,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1709.4674,1528.6582,2043.0026,1024.9318,886.74817,988.92316,
69,308.1706680916248,1.1228944,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,403.93747,293.94168,564.94305,0,0,0,
70,289.0895400024969,1.13455,,,,,,,,,,,0,0,0,0,0,0,1865.8422,3356.8193,1962.2783,0,0,0,0,0,0,893.8971,804.4907,682.37854,
71,387.0899444643164,1.1356056,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1195.3315,1212.5415,1212.8098,0,0,0,0,0,0,
72,249.09681567970517,1.1460333,,,,,,,,,,,0,0,0,0,0,0,257.93774,274.58377,256.91104,0,0,0,0,0,0,0,0,0,
73,382.1348364152357,1.1473556,,,,,,,,,,,0,0,0,0,0,0,0,0,0,748.1116,699.84515,683.82776,0,0,0,0,0,0,
74,283.1518465818256,1.1693889,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,384.52945,307.5686,404.1495,0,0,0,
75,146.11758642479776,1.1786361,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4037.9084,3409.9023,4219.482,1203.4185,1163.1276,1065.1421,
76,206.04489146307125,1.2119712,,,,,,,,,,,0,0,0,2341.3328,2416.3706,2309.0837,1421.8196,1312.7539,1218.5435,2112.0198,2099.346,2025.8313,2089.5886,2078.4731,2348.6118,2935.4458,2655.113,2355.2102,
77,168.0995523148783,1.2197194,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3654.9482,2927.6313,3943.7373,550.7422,449.07703,545.4334,
78,128.10706305225298,1.2197278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8995.991,7733.1694,9348.168,1821.7267,1589.9132,1386.7428,
79,187.09660092250553,1.2762555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084.4918,956.67426,869.89233,
80,209.07878347702152,1.2821221,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.14464,244.45593,193.50359,
81,146.15392517840243,1.2870389,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1266.5143,1030.7559,1248.385,0,0,0,
82,357.0814371178331,1.2870945,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,594.676,597.8198,713.3693,0,0,0,
83,140.14342789945132,1.3048056,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,392.06204,345.00357,444.49554,0,0,0,
84,305.06549223766046,1.3105334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,320.917,282.5141,328.7011,0,0,0,
85,334.14964510552875,1.3163834,,,,,,,,,,,0,0,0,0,0,0,293.15952,235.76433,279.42184,0,0,0,0,0,0,0,0,0,
86,175.02382488634967,1.3699583,,,,,,,,,,,0,0,0,0,0,0,0,0,0,903.48285,1457.15,1857.0756,0,0,0,2847.2444,3786.5442,4784.953,
87,168.53391376739438,1.371089,,,,,,,,,,,0,0,0,580.3639,1104.1777,1469.1465,0,0,0,475.1809,715.6874,950.8764,536.7842,893.7715,1230.2006,0,0,0,
88,238.09235057245633,1.371576,,,,,,,,,,,0,0,0,0,0,0,0,0,0,454.12735,613.70703,852.2547,452.77203,597.58307,979.19977,1280.4021,1518.9185,2063.6533,
89,463.1053977879287,1.3721848,,,,,,,,,,,0,0,0,198.68835,997.3314,1636.17,0,0,0,125.87139,264.27115,471.9911,193.03062,520.865,939.0474,1162.1626,2127.8374,3062.684,
90,221.06574934638874,1.37278,,,,,,,,,,,0,0,0,4065.285,8349.352,10255.356,1065.3435,1422.9055,1748.8025,3375.361,5089.873,6593.199,4115.5527,5956.8,8441.486,10349.849,12628.805,15680.816,
91,175.06018482419245,1.3728629,,,,,,,,,,,0,0,0,618.74164,1152.619,1461.9443,0,0,0,0,0,0,580.24255,854.3047,1175.5402,1410.9822,1751.5856,2146.4578,
92,243.04769864398338,1.3762633,,,,,,,,,,,0,0,0,3354.8494,7200.929,9613.284,751.99554,1165.7169,1439.2496,2741.3384,4314.05,5618.854,3271.498,5334.1,7520.0073,7803.9307,10952.718,13192.929,
93,295.0812881841828,1.3868166,,,,,,,,,,,0,0,0,0,0,0,1032.1871,983.0209,952.353,0,0,0,0,0,0,0,0,0,
94,374.18093974975466,1.3927352,,,,,,,,,,,0,0,0,0,0,0,3222.069,2815.6418,2792.91,0,0,0,765.2642,617.89905,798.8247,1516.0966,1341.7728,1371.2104,
95,379.1362859591588,1.3984443,,,,,,,,,,,0,0,0,0,0,0,3660.651,3282.2393,3539.048,0,0,0,1051.2928,877.6912,1096.4944,0,0,0,
96,177.09112862638108,1.3984889,,,,,,,,,,,0,0,0,0,0,0,1416.2749,1269.0259,1262.6882,0,0,0,0,0,0,0,0,0,
97,195.10153047370474,1.4102222,,,,,,,,,,,0,0,0,0,0,0,1750.6029,1651.9637,1628.5773,0,0,0,0,0,0,0,0,0,
98,264.0867736070311,1.4106388,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.4941,420.2173,445.5553,
99,243.1832341041766,1.4295056,,,,,,,,,,,0,0,0,554.2124,694.9118,620.3485,0,0,0,0,0,0,620.9708,1008.2207,1006.8467,696.0121,671.99243,686.5628,
100,209.1537837482009,1.4348723,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1603.4188,1509.7583,1528.6809,0,0,0,0,0,0,
101,424.25461451948127,1.4348779,,,,,,,,,,,0,0,0,0,0,0,0,0,0,447.3499,443.7139,411.8929,0,0,0,0,0,0,
102,429.20980912980167,1.4465944,,,,,,,,,,,0,0,0,0,0,0,0,0,0,938.552,922.5184,1019.29083,0,0,0,0,0,0,
103,155.0314051257011,1.4780569,,,,,,,,,,,0,0,0,0,0,0,343.3094,511.1817,529.1217,259.6936,406.77826,442.7569,353.64597,488.01846,634.70746,407.96628,539.41064,620.89856,
104,133.04969341485915,1.4810027,,,,,,,,,,,0,0,0,0,0,0,223.53088,320.53937,426.4782,0,0,0,0,0,0,240.50754,349.61856,458.07877,
105,367.1500012635841,1.5906221,,,,,,,,,,,0,0,0,1253.7554,1232.0026,1090.1519,0,0,0,0,0,0,0,0,0,0,0,0,
106,517.1551635301581,1.5921334,,,,,,,,,,,0,0,0,0,0,0,1643.9861,1499.7694,1643.528,0,0,0,0,0,0,0,0,0,
107,328.17607960157807,1.6047778,,,,,,,,,,,0,0,0,0,0,0,0,0,0,217.92966,213.52562,245.72946,0,0,0,0,0,0,
108,266.1421595676615,1.6159834,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211.9214,1057.2853,884.56305,
109,226.54714044446305,1.6235666,,,,,,,,,,,0,0,0,1076.2346,1214.8358,1137.6494,922.9167,869.05554,939.27637,0,0,0,0,0,0,0,0,0,
110,377.08436271498203,1.6236862,,,,,,,,,,,0,0,0,4632.75,4596.2964,4867.5737,3972.3535,3803.206,3982.069,0,0,0,0,0,0,0,0,0,
111,231.17041074364906,1.6276499,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.19675,388.86307,386.1015,
112,188.0707014568113,1.6318046,,,,,,,,,,,0,0,0,3244.8171,3310.365,3079.0962,674.84314,621.6948,659.09894,2971.9668,3132.8164,3132.0142,1262.4071,1130.2124,1378.2269,2007.3242,1763.0651,1720.8993,
113,355.1024131363301,1.6328648,,,,,,,,,,,0,0,0,20350.531,19584.996,18418.379,16301.71,15906.572,14525.734,0,0,0,0,0,0,1025.5721,877.2357,862.2998,
114,205.0972827596196,1.6341523,,,,,,,,,,,0,0,0,7808.199,7417.174,6835.613,1513.634,1437.6278,1377.7698,6463.295,6946.0405,6694.657,2670.5596,2579.5117,3115.943,4370.7935,4096.7036,3851.361,
115,163.0390022326233,1.6342083,,,,,,,,,,,0,0,0,23712.227,24114.213,22272.639,19425.246,19158.875,18083.625,0,0,0,330.1087,360.86722,449.89532,1435.0084,1305.4713,1262.6783,
116,559.1919213378477,1.6374334,,,,,,,,,,,0,0,0,585.15137,578.7434,537.2835,0,0,0,0,0,0,0,0,0,0,0,0,
117,235.55246107190501,1.63825,,,,,,,,,,,0,0,0,934.97656,1083.9645,1036.5312,849.4643,836.8387,857.8738,0,0,0,0,0,0,0,0,0,
118,731.1791114138983,1.6441361,,,,,,,,,,,0,0,0,1010.611,937.2627,930.7278,696.71027,659.77527,618.79236,0,0,0,0,0,0,0,0,0,
119,281.0996086589787,1.672687,,,,,,,,,,,0,0,0,0,0,0,342.82104,264.4926,291.76035,402.39096,398.80426,364.57098,0,0,0,342.56223,325.5727,283.33548,
120,221.08077983609078,1.7512221,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.8862,517.09955,477.62137,
121,183.0994427920846,1.7972128,,,,,,,,,,,0,0,0,305.65216,293.43268,308.71286,0,0,0,321.81006,306.9385,304.61304,0,0,0,329.98306,247.94196,273.97977,
122,287.0739123187997,1.8275167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134.6171,1971.0385,2505.3237,
123,309.0946342060491,1.8323278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,284.6306,202.74762,272.54404,0,0,0,
124,159.0651015927685,1.8329889,,,,,,,,,,,0,0,0,0,0,0,262.34854,425.98624,686.8606,436.38226,583.4206,681.97687,0,0,0,0,0,0,
125,329.12316713148897,1.8439889,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,396.67157,332.74738,432.56564,0,0,0,
126,176.070605245339,1.8674222,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,438.8053,347.3102,448.17746,0,0,0,
127,227.1754798241026,1.903711,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.47906,438.36438,353.01953,
128,249.1575903162568,1.903711,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.80005,599.0347,543.417,
129,114.09150759451614,1.9046628,,,,,,,,,,,0,0,0,12074.46,11921.835,10625.368,6974.7915,6399.5264,6252.3804,4402.98,3921.6519,3621.255,0,0,0,0,0,0,
130,136.07371902984644,1.9096168,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6283.4795,5902.906,6087.633,
131,298.0970328859865,1.9241832,,,,,,,,,,,0,0,0,0,0,0,331.6418,250.38057,253.31018,476.99603,599.5267,359.48392,0,0,0,0,0,0,
132,165.05447017970505,1.9261278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,329.08932,347.17892,394.1071,0,0,0,
133,383.0975125876666,1.9377111,,,,,,,,,,,0,0,0,808.09955,970.232,1000.54315,0,0,0,0,0,0,0,0,0,533.6177,552.68604,563.4358,
134,302.12331497507097,2.0202,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,402.49274,342.84714,432.53174,0,0,0,
135,515.1375727989658,2.0564222,,,,,,,,,,,0,0,0,0,0,0,0,0,0,317.18933,323.99402,345.2174,0,0,0,0,0,0,
136,243.18328177172162,2.082292,,,,,,,,,,,0,0,0,1342.407,1839.5952,1597.4082,1052.2367,1221.5573,1686.188,1856.5059,1457.2014,1503.3429,1379.7954,2072.379,2046.2234,1640.5685,1402.6782,1491.7042,
137,493.1554338253428,2.0826685,,,,,,,,,,,0,0,0,473.6352,439.02588,409.77652,0,0,0,721.02405,777.10236,749.3282,0,0,0,310.54324,259.8625,253.92773,
138,365.0844581628241,2.0910778,,,,,,,,,,,0,0,0,0,0,0,1186.4692,1034.5372,1100.2705,956.3655,951.60486,914.71014,0,0,0,0,0,0,
139,231.05008676832378,2.0913777,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.6133,374.85736,342.31766,
140,331.10133269002137,2.0943305,,,,,,,,,,,0,0,0,0,0,0,0,0,0,560.9886,600.29614,615.8257,0,0,0,572.5572,539.7878,552.5585,
141,163.03907572191983,2.097583,,,,,,,,,,,0,0,0,0,0,0,0,0,0,462.82004,456.46432,395.40515,0,0,0,0,0,0,
142,181.04953805585674,2.1081834,,,,,,,,,,,0,0,0,0,0,0,1032.6812,1012.4603,933.7223,0,0,0,0,0,0,0,0,0,
143,326.14483858519066,2.1087444,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.38464,500.12823,507.57227,
144,266.05537640689175,2.1091557,,,,,,,,,,,0,0,0,0,0,0,0,0,0,302.2752,402.60007,408.78275,0,0,0,0,0,0,
145,231.17036307170704,2.1263278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.3041,498.4139,591.205,
146,285.09435260719835,2.1934917,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,410.31467,312.18564,405.4537,263.12378,217.30473,223.3322,
147,318.1552079743135,2.203389,,,,,,,,,,,0,0,0,0,0,0,0,0,0,444.57864,470.44537,432.9824,0,0,0,0,0,0,
148,323.11045554700064,2.2150943,,,,,,,,,,,0,0,0,0,0,0,0,0,0,651.3752,670.5036,708.69916,0,0,0,0,0,0,
149,259.1152422029549,2.2154555,,,,,,,,,,,0,0,0,538.54254,553.1512,493.47894,0,0,0,0,0,0,992.13354,830.3261,1132.9338,0,0,0,
150,204.06546261694734,2.2196665,,,,,,,,,,,0,0,0,0,0,0,449.2966,373.4395,357.8678,0,0,0,0,0,0,0,0,0,
151,233.14978103422402,2.2205722,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3762.1882,3459.9478,3511.368,
152,557.1867829480219,2.2441666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.1179,1629.6456,1578.9252,
153,326.06562538335055,2.3445332,,,,,,,,,,,0,0,0,311.65997,431.01147,400.46317,0,0,0,0,0,0,0,0,0,614.4247,653.1284,736.16437,
154,239.09155090409874,2.388497,,,,,,,,,,,0,0,0,555.0402,467.86954,511.41592,0,0,0,595.13153,523.9392,530.90735,0,0,0,0,0,0,
155,221.08099543059444,2.3891869,,,,,,,,,,,0,0,0,1880.284,1815.3195,1716.4623,0,0,0,1802.2745,1916.5851,1896.9557,0,0,0,333.01105,283.25037,293.44235,
156,331.1025651563774,2.4381945,,,,,,,,,,,0,0,0,819.04114,827.5091,750.9932,0,0,0,0,0,0,0,0,0,592.29065,531.08563,502.84155,
157,353.0847487038881,2.4508889,,,,,,,,,,,0,0,0,323.22836,305.68396,296.7713,0,0,0,0,0,0,0,0,0,0,0,0,
158,217.15480777138364,2.6770668,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2245.7168,1935.4004,1886.5425,
159,356.134020195882,2.7065277,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2877.719,2276.1355,2355.382,
